index,date,time,heartRate,date_time,weekday,prediction,score
133092,2024-10-21,14:12,80,2024-10-21 00:14:12,0,82.12905,0
133093,2024-10-21,14:14,75,2024-10-21 00:14:14,0,82.52252,1
133094,2024-10-21,14:15,88,2024-10-21 00:14:15,0,79.22636,1
133095,2024-10-21,14:16,122,2024-10-21 00:14:16,0,86.03291,8
133096,2024-10-21,14:17,135,2024-10-21 00:14:17,0,109.148506,4
133097,2024-10-21,14:18,146,2024-10-21 00:14:18,0,120.1709,4
133098,2024-10-21,14:19,149,2024-10-21 00:14:19,0,132.71243,2
133099,2024-10-21,14:20,154,2024-10-21 00:14:20,0,137.94931,2
133100,2024-10-21,14:21,158,2024-10-21 00:14:21,0,143.33098,2
133101,2024-10-21,14:22,162,2024-10-21 00:14:22,0,149.23912,2
133102,2024-10-21,14:23,118,2024-10-21 00:14:23,0,152.82751,8
133103,2024-10-21,14:24,118,2024-10-21 00:14:24,0,119.960686,0
133104,2024-10-21,14:25,121,2024-10-21 00:14:25,0,119.48244,0
133105,2024-10-21,14:26,128,2024-10-21 00:14:26,0,120.68664,1
133106,2024-10-21,14:27,135,2024-10-21 00:14:27,0,124.57095,2
133107,2024-10-21,14:28,148,2024-10-21 00:14:28,0,131.25621,2
133108,2024-10-21,14:29,153,2024-10-21 00:14:29,0,139.84769,2
133109,2024-10-21,14:30,156,2024-10-21 00:14:30,0,144.15959,2
133110,2024-10-21,14:31,160,2024-10-21 00:14:31,0,149.00471,2
133111,2024-10-21,14:32,158,2024-10-21 00:14:32,0,153.08257,0
133112,2024-10-21,14:33,154,2024-10-21 00:14:33,0,152.00673,0
133113,2024-10-21,14:34,156,2024-10-21 00:14:34,0,148.05905,1
133114,2024-10-21,14:35,160,2024-10-21 00:14:35,0,149.61319,2
133115,2024-10-21,14:36,161,2024-10-21 00:14:36,0,152.37038,1
133116,2024-10-21,14:37,165,2024-10-21 00:14:37,0,153.41005,2
133117,2024-10-21,14:38,162,2024-10-21 00:14:38,0,157.0792,0
133118,2024-10-21,14:39,164,2024-10-21 00:14:39,0,154.4012,1
133119,2024-10-21,14:40,167,2024-10-21 00:14:40,0,155.14375,2
133120,2024-10-21,14:41,160,2024-10-21 00:14:41,0,158.78978,0
133121,2024-10-21,14:42,161,2024-10-21 00:14:42,0,152.10805,1
133122,2024-10-21,14:43,160,2024-10-21 00:14:43,0,152.16473,1
133123,2024-10-21,14:44,161,2024-10-21 00:14:44,0,150.74846,2
133124,2024-10-21,14:45,163,2024-10-21 00:14:45,0,151.09042,2
133125,2024-10-21,14:46,161,2024-10-21 00:14:46,0,154.08974,1
133126,2024-10-21,14:47,162,2024-10-21 00:14:47,0,152.68863,1
133127,2024-10-21,14:48,170,2024-10-21 00:14:48,0,153.31038,2
133128,2024-10-21,14:49,175,2024-10-21 00:14:49,0,160.23213,2
133129,2024-10-21,14:50,176,2024-10-21 00:14:50,0,162.68343,2
133130,2024-10-21,14:51,173,2024-10-21 00:14:51,0,164.159,1
133131,2024-10-21,14:52,163,2024-10-21 00:14:52,0,162.93471,0
133132,2024-10-21,14:53,159,2024-10-21 00:14:53,0,155.98312,0
133133,2024-10-21,14:54,153,2024-10-21 00:14:54,0,152.32619,0
133134,2024-10-21,14:55,149,2024-10-21 00:14:55,0,148.17476,0
133135,2024-10-21,14:56,153,2024-10-21 00:14:56,0,144.7663,1
133136,2024-10-21,14:57,157,2024-10-21 00:14:57,0,146.4933,2
133137,2024-10-21,14:58,162,2024-10-21 00:14:58,0,148.80682,2
133138,2024-10-21,14:59,166,2024-10-21 00:14:59,0,153.50627,2
133139,2024-10-21,15:00,168,2024-10-21 00:15:00,0,155.82991,2
133140,2024-10-21,15:01,165,2024-10-21 00:15:01,0,158.10733,1
133141,2024-10-21,15:02,159,2024-10-21 00:15:02,0,156.81552,0
133142,2024-10-21,15:03,160,2024-10-21 00:15:03,0,151.34607,1
133143,2024-10-21,15:04,161,2024-10-21 00:15:04,0,152.33238,1
133144,2024-10-21,15:05,162,2024-10-21 00:15:05,0,153.23811,1
133145,2024-10-21,15:06,161,2024-10-21 00:15:06,0,153.74149,1
133146,2024-10-21,15:07,157,2024-10-21 00:15:07,0,154.31982,0
133147,2024-10-21,15:08,157,2024-10-21 00:15:08,0,150.32407,1
133148,2024-10-21,15:09,153,2024-10-21 00:15:09,0,149.73338,0
133149,2024-10-21,15:10,162,2024-10-21 00:15:10,0,146.92259,2
133150,2024-10-21,15:11,163,2024-10-21 00:15:11,0,153.21602,1
133151,2024-10-21,15:12,161,2024-10-21 00:15:12,0,154.08626,1
133152,2024-10-21,15:13,164,2024-10-21 00:15:13,0,152.63216,2
133153,2024-10-21,15:14,165,2024-10-21 00:15:14,0,154.18082,2
133154,2024-10-21,15:15,167,2024-10-21 00:15:15,0,155.55367,2
133155,2024-10-21,15:16,134,2024-10-21 00:15:16,0,157.85864,4
133156,2024-10-21,15:17,131,2024-10-21 00:15:17,0,133.65654,0
133157,2024-10-21,15:18,128,2024-10-21 00:15:18,0,129.99344,0
133158,2024-10-21,15:19,121,2024-10-21 00:15:19,0,126.104744,1
133159,2024-10-21,15:20,115,2024-10-21 00:15:20,0,120.179504,1
133160,2024-10-21,15:21,97,2024-10-21 00:15:21,0,114.672676,2
133161,2024-10-21,15:22,100,2024-10-21 00:15:22,0,102.25976,0
133162,2024-10-21,15:23,104,2024-10-21 00:15:23,0,103.161125,0
133163,2024-10-21,15:24,105,2024-10-21 00:15:24,0,104.37439,0
133164,2024-10-21,15:25,101,2024-10-21 00:15:25,0,104.321686,0
133165,2024-10-21,15:26,100,2024-10-21 00:15:26,0,101.82325,0
133166,2024-10-21,15:27,79,2024-10-21 00:15:27,0,100.3778,4
133167,2024-10-21,15:29,82,2024-10-21 00:15:29,0,87.32604,1
133168,2024-10-21,15:31,77,2024-10-21 00:15:31,0,88.575294,2
133169,2024-10-21,15:33,73,2024-10-21 00:15:33,0,84.90975,2
133170,2024-10-21,15:35,87,2024-10-21 00:15:35,0,80.42259,1
133171,2024-10-21,15:38,95,2024-10-21 00:15:38,0,88.12699,1
133172,2024-10-21,15:40,85,2024-10-21 00:15:40,0,92.4318,1
133173,2024-10-21,15:43,94,2024-10-21 00:15:43,0,86.06163,1
133174,2024-10-21,15:44,98,2024-10-21 00:15:44,0,93.145615,0
133175,2024-10-21,15:45,97,2024-10-21 00:15:45,0,95.29527,0
133176,2024-10-21,15:48,93,2024-10-21 00:15:48,0,94.825905,0
133177,2024-10-21,15:51,84,2024-10-21 00:15:51,0,91.949875,1
